player_key,player_id,player_image,player_name,player_number,player_country,player_type,player_age,player_match_played,player_goals,player_yellow_cards,player_red_cards,player_injured,player_substitute_out,player_substitutes_on_bench,player_assists,player_is_captain,player_shots_total,player_goals_conceded,player_fouls_committed,player_tackles,player_blocks,player_crosses_total,player_interceptions,player_clearances,player_dispossesed,player_saves,player_inside_box_saves,player_duels_total,player_duels_won,player_dribble_attempts,player_dribble_succ,player_pen_comm,player_pen_won,player_pen_scored,player_pen_missed,player_passes,player_passes_accuracy,player_key_passes,player_woordworks,player_rating,player_birthdate
3341344795,3341344795,https://apiv3.apifootball.com/badges/players/119176_a-leon.jpg,A. León,Indisponible,Indisponible,Forwards,23,0,0,0,0,No,0,0,0,0,Indisponible,0,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,1,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,0,0,Indisponible,Indisponible,Indisponible,Indisponible,6.30,2000-01-18
3814283919,3814283919,Indisponible,J. Salazar,Indisponible,Indisponible,Forwards,20,0,0,0,0,No,0,0,0,0,Indisponible,0,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,0,0,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,2002-09-09
2844331008,2844331008,Indisponible,R. Funes,Indisponible,Indisponible,Goalkeepers,Indisponible,0,0,0,0,No,0,0,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,2002-03-07
2879675852,2879675852,https://apiv3.apifootball.com/badges/players/77755_m-gonzalez.jpg,M. González,Indisponible,Indisponible,Goalkeepers,Indisponible,30,0,3,1,No,1,0,Indisponible,0,Indisponible,4,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,7,Indisponible,5,3,2,1,Indisponible,Indisponible,Indisponible,Indisponible,0,0,53,21,Indisponible,Indisponible,6.70,1997-05-20
1227034630,1227034630,https://apiv3.apifootball.com/badges/players/89443_y-guardado.jpg,Y. Guardado,Indisponible,Indisponible,Goalkeepers,Indisponible,2,0,0,0,No,0,0,Indisponible,0,Indisponible,0,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,0,0,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,1996-08-20
2748164895,2748164895,Indisponible,W. Canales,Indisponible,Indisponible,Defenders,Indisponible,27,0,10,0,No,5,0,Indisponible,0,1,0,1,2,Indisponible,2,2,1,1,Indisponible,Indisponible,14,9,3,1,Indisponible,Indisponible,0,0,73,45,Indisponible,Indisponible,6.20,1995-02-18
1620548613,1620548613,https://apiv3.apifootball.com/badges/players/32843_m-jacobo.jpg,M. Jacobo,Indisponible,Indisponible,Defenders,Indisponible,19,0,1,1,No,0,0,Indisponible,0,Indisponible,0,2,Indisponible,2,Indisponible,1,4,Indisponible,Indisponible,Indisponible,3,1,Indisponible,Indisponible,Indisponible,Indisponible,0,0,6,2,Indisponible,Indisponible,6.30,1996-08-02
566179849,566179849,https://apiv3.apifootball.com/badges/players/2882_a-larin.jpg,A. Larín,Indisponible,Indisponible,Defenders,Indisponible,16,3,5,0,No,2,0,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,Indisponible,1992-06-27
3908613982,3908613982,https://apiv3.apifootball.com/badges/players/26977_i-mancia.jpg,I. Mancía,Indisponible,Indisponible,Defenders,Indisponible,23,3,5,0,No,1,0,Indisponible,0,Indisponible,0,1,1,Indisponible,Indisponible,2,1,Indisponible,Indisponible,Indisponible,5,1,Indisponible,Indisponible,Indisponible,Indisponible,0,0,21,18,Indisponible,Indisponible,6.00,1989-05-01
2390475467,2390475467,https://apiv3.apifootball.com/badges/players/32308_c-mancilla.jpg,C. Mancilla,Indisponible,Indisponible,Defenders,Indisponible,13,0,0,1,No,0,0,Indisponible,0,Indisponible,0,Indisponible,3,Indisponible,Indisponible,3,11,Indisponible,Indisponible,Indisponible,12,9,Indisponible,Indisponible,Indisponible,Indisponible,0,0,41,19,Indisponible,Indisponible,7.70,1993-03-26
